"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0659829289497227,0.000158762668977279,0.0170380473865256,0.21055242249833,0.019338077764331,0.5,1,NA,"linear"
"2",1,2,-0.00449598514777084,5.9932609835565e-05,0.00713279238664347,Inf,0.00878349940472263,1,NA,0,"linear"
"3",1,3,-0.00205953558103723,4.68199328215148e-05,0.00563419824272723,Inf,0.00698001597347724,1,NA,0,"linear"
"4",1,4,0.000181217874786999,0.000116344605052923,0.00876864986600157,Inf,0.010514761752813,0.85,NA,0.15,"linear"
"5",1,5,0.0648409699026229,0.000137246859524578,0.00971711383036494,0.144211713026807,0.0116976801009546,0.85,1,NA,"linear"
"6",1,6,0.000667580578288385,5.10204439479076e-05,0.00580872402373159,Inf,0.00699393205421815,0.95,NA,0.05,"linear"
"7",1,7,0.00345919689781233,6.35992124752757e-05,0.00696545219070648,Inf,0.00850795480884486,1,NA,0,"linear"
"8",1,8,0.00409530478104349,0.000121517603984912,0.00890250592735312,Inf,0.0114984018470092,0.85,NA,0.15,"linear"
"9",1,9,0.000440681218010053,7.45413769337857e-05,0.00663777027013804,Inf,0.00842665461633519,0.95,NA,0.05,"linear"
"10",1,10,-0.00191330174172596,8.49959904266638e-05,0.00776319831364146,Inf,0.00918732357437258,0.95,NA,0.05,"linear"
"11",1,11,0.131199057731753,0.000455475022223639,0.0215033163799722,0.144997214914977,0.0269294933625417,0.8,NA,1,"linear"
"12",2,1,0.136538672930653,2.79108649757957e-05,0.0664623816851718,0.327399194112319,0.0666615593951452,0,1,NA,"linear"
"13",2,2,-0.00317337508120583,0.000123140056730001,0.00841432974337866,Inf,0.0112717950344885,0.9,NA,0.1,"linear"
"14",2,3,-4.78914298371214e-05,0.000107829192939006,0.00892948732718282,Inf,0.0101212660710559,0.95,NA,0.05,"linear"
"15",2,4,-0.0017885248143094,6.32728046985397e-05,0.00675245986200237,Inf,0.00795663154073463,1,NA,0,"linear"
"16",2,5,0.133882103537666,0.000126411076810915,0.011030471807595,0.0769531945402366,0.0144755846248455,0.85,1,NA,"linear"
"17",2,6,-6.87930866414943e-05,7.14376418209523e-05,0.00646932262905102,Inf,0.00823835494614516,1,NA,0,"linear"
"18",2,7,0.000950106719204591,5.81841568601716e-05,0.00580727973857327,Inf,0.00749517523444521,1,NA,0,"linear"
"19",2,8,-0.00197583780096717,0.000116368689771548,0.00855155039628783,Inf,0.0106983265186057,0.9,NA,0.1,"linear"
"20",2,9,0.00182425335656606,6.92281116577168e-05,0.0066591665047026,Inf,0.00831231654737556,0.95,NA,0.05,"linear"
"21",2,10,0.00253672560296883,0.000116510715858097,0.00900951206306204,Inf,0.0108222066534487,0.9,NA,0.1,"linear"
"22",2,11,0.268677439934097,0.000365899463079184,0.0776581232978239,0.224227978706942,0.0798648145560061,0.05,NA,1,"linear"
"23",3,1,0.133764054111383,0.000166309200881924,0.0692370005044416,0.341067196106302,0.0703687144950785,0,1,NA,"linear"
"24",3,2,0.000307596204371241,0.000152795908010083,0.0101802963840516,Inf,0.0120520009971176,1,NA,0,"linear"
"25",3,3,0.000461080525208379,0.000231277961480895,0.0124197639972999,Inf,0.0148299244319577,1,NA,0,"linear"
"26",3,4,-0.00104466423340819,0.000154905927865055,0.00951754766728172,Inf,0.012175875936965,0.95,NA,0.05,"linear"
"27",3,5,0.133970781163038,0.000209189307575086,0.013894376329971,0.0969329928389199,0.0169266749097504,0.95,1,NA,"linear"
"28",3,6,0.000356985312229918,0.000381117207667373,0.0151191664090498,Inf,0.0190312581243898,0.8,NA,0.2,"linear"
"29",3,7,-0.00219576545204868,0.000242931039113712,0.0121764515836602,Inf,0.0153494583969089,0.9,NA,0.1,"linear"
"30",3,8,-0.000516296645732606,0.000328071316428057,0.0149873400180651,Inf,0.0176616622330133,0.95,NA,0.05,"linear"
"31",3,9,0.00434091606862032,8.676822532191e-05,0.00828861701526732,Inf,0.0100634669160593,1,NA,0,"linear"
"32",3,10,0.00212709223060453,0.000264331985989883,0.013733357424322,Inf,0.0159887431666122,0.9,NA,0.1,"linear"
"33",3,11,0.271571779284266,0.000147324702268593,0.0747637839476556,0.215870941031806,0.0756940014619843,0,NA,1,"linear"
"34",4,1,0.135005471373692,9.07258922810267e-05,0.011213245489185,0.0894667256752779,0.0134060436613874,0.85,1,NA,"linear"
"35",4,2,-0.0020277658751628,0.000118919251207423,0.00852383588627301,Inf,0.0108205879272582,0.85,NA,0.15,"linear"
"36",4,3,-0.00172247235408702,0.000132615826240752,0.0094549553194504,Inf,0.0113557010324906,0.85,NA,0.15,"linear"
"37",4,4,0.00278040931238503,8.80003228415968e-05,0.00726381568973225,Inf,0.00955672447253317,0.95,NA,0.05,"linear"
"38",4,5,0.131149537660004,8.96891969416604e-05,0.0262370240359574,0.16670434726595,0.0278134170385083,0.2,1,NA,"linear"
"39",4,6,0.000536976396786581,0.000104106506507658,0.00795352231101858,Inf,0.00995939379846889,0.95,NA,0.05,"linear"
"40",4,7,0.00116393249258173,0.000166415020662845,0.00980693459624729,Inf,0.0126273120052128,0.8,NA,0.2,"linear"
"41",4,8,-0.00059593372715876,9.36915512420603e-05,0.00719927648093772,Inf,0.00945315347844954,0.95,NA,0.05,"linear"
"42",4,9,0.00119526618825498,5.58709242934298e-05,0.0056805155748038,Inf,0.00738282055447265,0.95,NA,0.05,"linear"
"43",4,10,0.000148365441826281,0.000120545192192142,0.00942365862634624,Inf,0.0107023336187424,0.95,NA,0.05,"linear"
"44",4,11,0.267633786909123,0.000355138545243338,0.0190755673091342,0.0674753328895702,0.0237592557071402,0.95,NA,1,"linear"
"45",5,1,0.130501839962435,0.000252042393782792,0.0136478086768874,0.108891288979753,0.0163139265435132,0.95,1,NA,"linear"
"46",5,2,-0.00174538611423654,0.000173441843637203,0.0112499629842935,Inf,0.0129543862897133,1,NA,0,"linear"
"47",5,3,-0.00289958005935591,0.000341200804445407,0.0158254941339365,Inf,0.0182359076753462,0.9,NA,0.1,"linear"
"48",5,4,0.00161900771445389,0.000218968872931775,0.010990583850742,Inf,0.0145134976923086,0.95,NA,0.05,"linear"
"49",5,5,0.133615979722789,0.000154860997094282,0.0237705819731724,0.151033110559288,0.0266862982555258,0.75,1,NA,"linear"
"50",5,6,0.000681036146920677,0.00014642178892746,0.00978323827314615,Inf,0.011813742409351,0.95,NA,0.05,"linear"
"51",5,7,-0.00482493810662168,0.00035454501701469,0.0161110515285496,Inf,0.0189762428814738,0.9,NA,0.1,"linear"
"52",5,8,-0.00107014287315943,0.000164423706964161,0.0106770102023218,Inf,0.0125438322447698,1,NA,0,"linear"
